title,date,sentence
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2026-03-01,"They eventually resolve the conflict and Koppenhaver and Mandaloniz clean up the upper decker. * '''Tom Speer''' defeated Ben Saunders by unanimous decision after the second round. * Semifinal matches will be Danzig against Matt Arroyo and Speer against George Sotiropoulos. ;Episode 12 – Do You Want This Fight? '''(Original Air Date Dec 05, 2007)''' * Matt Arroyo injures a rib in training and decides to pull out of his fight against Danzig. * Kolosci is the only Team Serra fighter who expressed excitement at the prospect of replacing Arroyo, so he is picked to face Danzig for the second time. * '''Mac Danzig''' defeated John Kolosci by submission (rear naked choke) at 4:28 in round one. * This for the second time, with exactly the same type of submission. * '''Tom Speer''' defeated George Sotiropoulos by KO (strikes) at 2:57 in the first round. * Danzig and Speer, both from Team Hughes, are the final fighters standing and will face off in the final. ==Tournament bracket== ''* Arroyo was replaced by Kolosci due to rib injury.'' {| style=""border:1px solid black;"" align=left |+ '''Legend''' |- | style=""background:lightgrey; width:40px;"" | | &nbsp; | Team Hughes |- | style=""background:navy; width:40px;"" | | &nbsp; | Team Serra |- | style=""width:60px;"" | | &nbsp; | Unanimous Decision |- | style=""width:60px;"" | | &nbsp; | Majority Decision |- | style=""width:60px;"" | | &nbsp; | Submission |- | style=""width:60px;"" | | &nbsp; | (Technical) Knockout |- |} ==The Ultimate Fighter 6 Finale== '''''The Ultimate Fighter: Team Hughes vs."
The Ultimate Fighter: Team Lesnar vs. Team dos Santos Finale,2026-03-01,"On May 12, 2011, midway through the airing of the season, Dana White announced that Brock Lesnar pulled out of the coaches' fight due to the return of his diverticulitis. ==Cast== ===Coaches=== ; Team Lesnar: *Brock Lesnar *Marty Morgan *Erik Paulson *Rodrigo Medeiros *Greg Nelson *Chris Manos *Matt Hughes (guest coach) ; Team dos Santos: *Junior dos Santos *Antonio Peinado *Billy Scheibe *Lew Polley *Luiz Dorea ===Fighters=== *'''Team Lesnar''' :* Len Bentley, Charlie Rader, Tony Ferguson, Clay Harvison, Chris Cope, Nordin Asrih, Myles Jury (Chuck O'Neil)* *'''Team dos Santos''' :* Shamar Bailey, Ryan McGillivray, Javier Torres, Ramsey Nijem, Zachary Davis, Michael ""Mick"" Bowman, Keon Caldwell (Justin Edwards)* ''* Jury was replaced by O'Neil due to injury.'' ''* Caldwell quit the show and was replaced by Edwards.'' ==Episodes== ;'''Episode 1: Something to Prove''' *Dana White welcomed 14 fighters to the UFC training facility and announced that all 14 would automatically get into the house."
The Ultimate Fighter: Team Lesnar vs. Team dos Santos Finale,2026-03-01,"White promised that he would get a second shot into the UFC after he heals up. *Jury was replaced by Chuck O'Neil. *Dos Santos announced that Bailey will face Asrih. *Both fighters speak of their religious backgrounds, as Bailey is the son of a pastor and Asrih is a German-born Muslim. *'''Shamar Bailey''' defeated Nordin Asrih by unanimous decision after two rounds. ;'''Episode 2: Suck It Up''' *Keon Caldwell struggled during an intense Team dos Santos training session and vomited."
The Ultimate Fighter: Team Lesnar vs. Team dos Santos Finale,2026-03-01,"White went on to say that Lesnar would be replaced by Shane Carwin. ==Tournament bracket== {| style=""border:1px solid black;"" align=left |+ '''Legend''' |- | style=""background:#237049; width:40px;"" | | &nbsp; | Team Lesnar |- | style=""background:#9AABA6; width:40px;"" | | &nbsp; | Team dos Santos |- | style=""width:60px;"" | | &nbsp; | Unanimous Decision |- | style=""width:60px;"" | | &nbsp; | Majority Decision |- | style=""width:60px;"" | | &nbsp; | Submission |- | style=""width:60px;"" | | &nbsp; | (Technical) Knockout |- |} ==The Ultimate Fighter 13 Finale== '''''The Ultimate Fighter: Team Lesnar vs."
The Ultimate Fighter: Team Lesnar vs. Team dos Santos Finale,2026-03-01,"Jonathan Brookins was expected to face Jeremy Stephens at this event, but was forced from the bout with an eye injury and replaced by Danny Downes."
The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,2026-03-01,"The series boasts a new ""wildcard"" format in which the two coaches will pick two fighters who lost their preliminary bouts to face each other for the eighth spot in the quarter-finals. ==Cast== ===Coaches=== *; '''Team Liddell''' **Chuck Liddell, head coach **Howard Davis, Jr., boxing coach **Scott Epstein **John Hackleman **Jake Shields **Antonio Banuelos *; '''Team Punishment''' **Tito Ortiz, head coach **Cleber Luciano **Rob McCullough **Saul Soliz ''*In the final episode of the season, Tito Ortiz and his coaching staff are replaced by Rich Franklin and his team.'' *; '''Team Franklin''' **Rich Franklin, head coach **Forrest Griffin **Tyson Griffin **Gray Maynard ===Fighters=== *'''Team Ortiz''' :* Nick Ring, Kyacey Uscola, Kris McCray, Jamie Yager, James Hammortree, Clayton McKinney, Chris Camozzi (Seth Baczynski)* *'''Team Liddell''' :* Kyle Noke, Rich Attonito, Charles Blanchard, Josh Bryant, Brad Tavares, Court McGee, Joseph Henle ''* Camozzi was replaced by Baczynski due to injury before official competition started on national television'' *'''Fighters eliminated before entry round''' :* Brent Cooper, Jacen Flynn, Charley Lynch, Victor O'Donnell, Norman Paraisy, Costas Philippou, Greg Rebello, Jordan Smith, Ben Stark, Lyle Steffens, Warren Thompson, Cleburn Walker, Woody Weatherby ==Episodes== ;'''Episode 1: Smashed Up''' *Dana White welcomed 28 fighters to the ""new and improved"" UFC training facility and announced that only 14 would get into the Ultimate Fighter house. *He also announced a format change for the season: following the first round, White and the coaches would pick two fighters who were eliminated in the first round to be wild cards."
The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,2026-03-01,"Josh Bryant *Ring discovers that he required his third ACL reconstruction surgery and faced the choice between fighting on and risking tearing his meniscus, or withdrawing from the competition. *Ring withdrew and was replaced by Hammortree after he ran after White as he was leaving the house, stating he wanted the fight. *'''Court McGee''' defeated James Hammortree via submission (standing guillotine choke) at 0:28 of the second round. ;'''Episode 9: Civilized Sport''' *Ortiz reveals that his doctors want him to have neck surgery immediately, as he is now regularly experiencing numbness in his limbs. *'''Kris McCray''' defeated Kyle Noke via unanimous decision after three rounds. *'''Brad Tavares''' defeated Seth Baczynski via disqualification (illegal soccer kick) at the end of the first round. *Baczynski had soccer kicked Tavares in the head as the buzzer went signalling the end of the first round."
The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,2026-03-01,"Special mention was made of McCray setting the new record for fights per season, having fought five times (""literally every Tuesday"" according to White). ==Tournament bracket== ''* Attonito was injured and replaced by McGee.'' ''** Ring was injured and replaced by Hammortree.'' {| style=""border:1px solid black; float:left;"" |+ '''Legend''' |- | style=""background:blue; width:40px;"" | | &nbsp; | Team Liddell |- | style=""background:red; width:40px;"" | | &nbsp; | Team Ortiz/Franklin |- | style=""width:60px;"" | | &nbsp; | Unanimous decision |- | style=""width:60px;"" | | &nbsp; | Majority decision |- | style=""width:60px;"" | | &nbsp; | Submission |- | style=""width:60px;"" | | &nbsp; | (Technical) Knockout |- | style=""width:60px;"" | | &nbsp; | Disqualification |} ==The Ultimate Fighter 11 Finale== '''''The Ultimate Fighter: Team Liddell vs."
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,2017-02-01,"After the completion of the series, the two met for the UFC Interim Heavyweight title at UFC 92 in December. ==Cast== ===Coaches=== * '''Team Nogueira''' ** Antônio Rodrigo Nogueira, head coach ** Alex ""Pitmonster"" Alves, assistant coach ** Daniel Valverde, jiu jitsu coach ** Al Stankiewicz, striking coach * '''Team Mir''' ** Frank Mir, head coach ** Ken Hahn, striking coach ** Robert Drysdale, jiu jitsu coach ** Demian Maia, jiu jitsu coach ===Fighters=== * '''Team Mir''' ** '''Light Heavyweights''': Krzysztof Soszynski, Vinny Magalhães, Eliot Marshall*, Tom Lawlor. ** '''Lightweights''': Junie Browning, Shane Nelson, Dave Kaplan, George Roop. * '''Team Nogueira''' ** '''Light Heavyweights''': Ryan Bader, Shane Primm, Kyle Kingsbury*, Jules Bruchez. ** '''Lightweights''': Phillipe Nover, Efraín Escudero, John Polakowski, Rolando Delgado*. *'''Eliminated in Entry Round''': ** '''Lightweights''': Jose Aguilar, Fernando Bernstein, Charles Diaz, Joe Duarte, Brandon Garner, Wesley Murch, Ido Pariente. ** '''Light Heavyweights''': Lance Evans, Jason Guida (did not make weight), Ryan Jimmo, Ryan Lopez, Eric Magee, Sean O'Connell, Mike Stewart. *'''Unassigned''' *: ** Antwain Britt, Karn Grigoryan, Brian McLaughlin. ''*Britt was replaced by Marshall on episode 2 due to injury."
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,2017-02-01,"On episode 3, both McLaughlin and Grigoryan were injured and then replaced by Delgado and Kingsbury respectively.'' ===Others=== *Host: Dana White *Narrator: Mike Rowe ==Episodes== ;'''Episode 1 – Ready to Fight''' * Before the introduction of the show has started, '''Phillipe Nover''' fainted due to heat exhaustion. * Dana White introduces Antônio Rodrigo Nogueira and Frank Mir as the coaches to the fighters and announces that the fighters will have to fight their way into the house. * Preliminary round matches are two rounds for five minutes each. * Jason Guida is unable to make weight for the preliminary round and is replaced by Mike Stewart. * '''Krzysztof Soszynski''' defeats Mike Stewart by TKO (strikes) at :17 in the first round. * '''Dave Kaplan''' defeats Fernando Bernstein by submission (rear naked choke) at 2:20 in the first round. * '''Phillipe Nover''' defeats Joe Duarte by submission (rear naked choke) at 3:33 in the second round. * '''Jules Bruchez''' defeats Eric Magee by submission (rear naked choke) at 1:43 in the first round. * '''Vinny Magalhães''' defeats Lance Evans by TKO (rib injury) at :34 in the first round. * '''Antwain Britt''' defeats Ryan Jimmo by majority decision after two rounds. * '''Brian McLaughlin''' defeats Brandon Garner by no contest. * This match is ruled a no contest after Garner lands a knee to a downed McLaughlin's head."
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,2017-02-01,"White announces that the Nevada State Athletic Commission has suspended them for 180 days as a result and that they have to go home. * Kyle Kingsbury is brought in to replace Grigoryan and McLaughlin's replacement is initially a mystery. * A coin is flipped (red for Nogueira, blue for Mir) and Mir wins."
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,2017-02-01,"He elects to choose the first fighter, meaning that Nogueira gets to pick the first fight. *'''Light Heavyweight selection:''' {| class=""wikitable"" |- !Coach !1st Pick !2nd Pick !3rd Pick !4th Pick |- !Mir |Krzysztof Soszynski |Vinny Magalhães |Eliot Marshall |Tom Lawlor |- !Nogueira |Ryan Bader |Shane Primm |Kyle Kingsbury |Jules Bruchez |} *'''Lightweight selection:''' {| class=""wikitable"" |- !Coach !1st Pick !2nd Pick !3rd Pick !4th Pick |- !Mir |Junie Browning |Shane Nelson |David Kaplan |George Roop |- !Nogueira |Phillipe Nover |Efrain Escudero |John Polakowski | |} * The fighters comment on Browning's bipolar tendencies, as he switches easily from happy to crying to agitated to showing affection. * The day after the picks, Rolando Delgado is announced as McLaughlin's replacement. * Nogueira announces the first match of his first pick Bader against Lawlor. * Team Mir pranks the red team by taking all of the Team Nogueira members' underwear and socks and Saran wrapping them to Bader's bed. * '''Ryan Bader''' defeats Tom Lawlor by KO (punch) at 3:41 of the first round. ;'''Episode 4 – Punk''' * The fighters are given the opportunity to watch UFC 84 on TV."
The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,2026-03-01,"He was replaced by Schultz.'' * '''Fighters Eliminated in or before Entry Round:''' ** David Baggett, Steve Byrnes, Erik Charles, John Clarke, Josh Hall, Mike Marrello, Prince McLean, Aaron Meisner, David Mewborn, Reggie Orr, Jeremiah Riggs, David Roberts, Nick Rossborough, Dan Simmler, John Wood ===Others=== *Host: Dana White *Narrator: Mike Rowe ==Episodes== ;'''Episode 1 – No Posers''' * Dana White introduces light heavyweight champion Quinton ""Rampage"" Jackson and Forrest Griffin as the coaches, and tells the 32 fighters the reason there are so many for this season is because he is tired of posers."
The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,2026-03-01,"Dollaway |Matt Riddle |Paul Bradley |Dan Cramer |Gerald Harris |Mike Dolce |Jeremy May |Brandon Sene |- !Forrest |Tim Credeur |Amir Sadollah |Jesse Taylor |Matt Brown |Cale Yarbrough |Dante Rivera |Nick Klein |Luke Zachrich |} * Bradley is removed from the house because of a contagious skin condition, so Patrick Schultz is brought back as his replacement. * Team Forrest selects Taylor to fight Dolce. * '''Jesse Taylor''' defeated Mike Dolce by submission (rear naked choke) at 1:47 of the second round. * Team Forrest retains control of the fight selections. ;'''Episode 4 – Everything to Lose''' * Dante Rivera shows disrespect towards Riddle, saying that he will go into retirement if the younger man beats him in a fight. * Team Forrest selects Credeur to fight Riddle. * Rivera continues to ridicule Riddle at the house, claiming he has been in his head since they met."
The Ultimate Fighter: United States vs. United Kingdom Finale,2026-03-01,Gleison Tibau would step in as Tavares' replacement.
The Ultimate Fighter: United States vs. United Kingdom Finale,2026-03-01,"Eric Schafer was originally scheduled to face Tomasz Drwal at this event, but he injured his rib and was replaced by Mike Ciesnolevicz."
The Ultimate Fighter: United States vs. United Kingdom Finale,2026-03-01,"A replacement was set to be named, however, due to nagging injuries Brown did not fight on the card."
UFC 100,2009-07-11,"A preliminary match-up between Dong Hyun Kim and Jonathan Goulet was scheduled for the card, but Goulet withdrew due to a shoulder injury, and was replaced by T."
UFC 101,2009-08-08,Thales Leites stepped in to face Sakara.
UFC 101,2009-08-08,George Roop stepped in against George Sotiropoulos after Rob Emerson pulled out of the matchup due to a cut requiring stitches. 
UFC 102,2009-08-29,He was replaced by Ed Herman.
UFC 103,2009-09-19,Tavares was replaced by UFC newcomer Steve Lopez.
UFC 103,2009-09-19,A back injury forced Dan Lauzon out of his bout with Rafaello Oliveira and he was replaced by Nik Lentz.
UFC 104,2009-10-24,An injured Sean Sherk was replaced by Josh Neer against Gleison Tibau.
UFC 105,2022-04-01,He was replaced by Mike Swick.
UFC 106,2009-11-21,UFC confirmed that Forrest Griffin would step in to face Ortiz.
UFC 108,2010-01-02,Gonzaga was replaced by Gilbert Yvel.
UFC 108,2010-01-02,Condit was replaced by Dustin Hazelett.
UFC 108,2010-01-02,"Sean Sherk, who originally had a fight with Rafaello Oliveira, stepped up as Griffin's replacement."
UFC 108,2010-01-02,"Since there was no time to find a suitable replacement to face Matyushenko, the bout was called off. == Results == == Bonus awards == The following fighters received $50,000 bonuses. * '''Fight of the Night: Joe Lauzon vs."
UFC 109,2012-05-01,Mike Swick stepped in as Koscheck's replacement and fought Thiago.
UFC 109,2012-05-01,"Both Jon Madsen and Joey Beltran were pegged as possible late replacements to step in and fight Rolles Gracie, before Beltran got the nod as the replacement fighter against Gracie."
UFC 110,2011-08-01,Brian Foster stepped in to fight Lytle.
UFC 111,2010-03-27,"Martin Kampmann was originally set to fight Ben Saunders, but Kampmann was replaced by Jake Ellenberger, due to a deep cut suffered in training by Kampmann."
UFC 111,2010-03-27,UFC newcomer Greg Soto was his replacement.
UFC 112,2010-04-10,"It was thought that Silva would instead take on Chael Sonnen, but he was unable to take the short notice fight due to lacerations obtained in a UFC 109 bout with Nate Marquardt."
UFC 113,2010-05-08,"Tim Credeur was scheduled to face Tom Lawlor, but was forced from the card with an injury and replaced by Joe Doerksen."
UFC 113,2010-05-08,"UFC veteran David Loiseau was supposed to step in as his replacement, but Loiseau was denied a license to appear on this card due to alleged ties to organized crime."
UFC 114,2010-05-29,Griffin was replaced by Jason Brilz.
UFC 114,2010-05-29,Waylon Lowe then stepped in as Tavares' replacement.
UFC 114,2010-05-29,"Evans would fight UFC Light Heavyweight Champion Mauricio Rua for the title in their next bout, but it never took place after Rashad Evans (who won the UFC 114 main event) was injured and ultimately replaced by Jon Jones for the title match at UFC 128 in March 2011."
UFC 116,2010-07-03,"However, the fight was cancelled for unknown reasons and Cantwell was replaced by UFC returnee Seth Petruzelli."
UFC 116,2010-07-03,"However, it was later demoted and replaced by Seth Petruzelli vs."
UFC 117,2010-08-07,"Stanislav Nedkov was scheduled to make his UFC debut against Rodney Wallace, but was replaced by Phil Davis after sustaining an injury."
UFC 117,2010-08-07,Silva's replacement was Todd Brown.
UFC 118,2010-08-28,"On July 23, Sakara's original opponent, Jorge Rivera suffered a broken arm in training and was replaced by Gerald Harris."
UFC 118,2010-08-28,"On August 5, Sakara (who was back on the card) then bowed out due to an unknown injury and was replaced by Joe Vedepo."
UFC 118,2010-08-28,Etim was replaced by former UFC and TUF veteran Gabe Ruediger.
UFC 118,2010-08-28,Dan Miller served as Baroni's replacement.
UFC 119,2010-09-25,"Aaron Riley was expected to face UFC newcomer Pat Audinwood at this event, but Riley was forced from the card with an injury and was replaced by Thiago Tavares."
UFC 120,2022-04-01,"Patrick, who had an MMA record of 12 wins and 1 loss, was making his second UFC appearance, having won in his debut via guillotine choke just a few months earlier. ===Injuries and replacements=== Dan Hardy was originally scheduled to fight Dustin Hazelett at this event before Hazelett pulled out because of his wedding in September."
UFC 120,2022-04-01,"However, Kim was forced off the card with an elbow injury sustained during training and was replaced by Mike Pyle."
UFC 120,2022-04-01,"However, on September 28, 2010, Tom Blackledge withdrew from the matchup with James McSweeney for unknown reasons and was replaced by Fabio Maldonado."
UFC 121,2010-10-23,"Jon Madsen was expected to face Todd Duffee, but Duffee was forced off the card due to a lingering knee injury and was replaced by Gilbert Yvel."
UFC 122,2010-11-13,"Vladimir Matyushenko was scheduled to face Jason Brilz at this event, but Brilz was forced off the card on October 6 with a back injury and replaced by Alexandre Ferreira."
UFC 123,2010-11-20,He was replaced by Brian Foster.
UFC 123,2010-11-20,Darren Elkins withdrew from his matchup with promotional newcomer Edson Barboza and was replaced by Mike Lullo. 
UFC 124,2010-12-11,He was replaced by UFC newcomer Jesse Bongfeldt.
UFC 124,2010-12-11,He was replaced by Sean Pierson.
UFC 126,2011-02-05,"Donald Cerrone stepped in to replace him, in what would become the first UFC lightweight fight featuring a fighter imported from the World Extreme Cagefighting following their merger in December 2010. ''UFC 126'' featured two preliminary fights live on Spike TV, and one preliminary fight on their Facebook stream. "
UFC 127,2021-02-01,Condit was replaced by promotional newcomer Brian Ebersole. 
UFC 128,2011-03-19,Eliot Marshall stepped in and replaced Vemola.
UFC 128,2011-03-19,"Erik Koch stepped in and faced Assunção, as Koch's original opponent for the UFC on Versus 3 event two weeks prior to UFC 128, Cub Swanson, pulled out due to injury around the same time as Gamburyan. ''UFC 128'' featured two preliminary fights live on Spike TV, and on March 7, it was announced that the Almeida vs Pyle and Pellegrino vs Tibau fights would stream live on the UFC's official Facebook page."
UFC 129,2011-04-30,"Rory MacDonald was expected to face James Wilks at this event, but Wilks was forced from the card, and replaced by Nate Diaz."
UFC 129,2011-04-30,"Brian Foster was expected to face Sean Pierson at this event, but Foster was forced out of the bout after a pre-fight MRI scan showed that Foster had a brain hemorrhage, and was replaced by Jake Ellenberger."
UFC 130,2011-05-28,"On February 9, it was rumored that Thiago Silva had been forced from his bout with Quinton ""Rampage"" Jackson and could be replaced by Rashad Evans."
UFC 130,2011-05-28,"Demetrious Johnson, who was set to fight Renan Barão on the undercard, stepped in as Pickett's replacement while Barão faced Cole Escovedo."
UFC 130,2011-05-28,"Michael McDonald, who was scheduled to take on Nick Pace at UFC 133, stepped in as Yamamoto's replacement."
UFC 130,2011-05-28,"Palaszewski was also injured and replaced by returning UFC veteran Rafaello Oliveira. ''UFC 130'' featured two preliminary fights live on Spike TV, and the remainder of the preliminary bouts streamed on Facebook. "
UFC 131,2011-06-11,"Brock Lesnar was originally scheduled to face Junior dos Santos after their coaching stint on ''The Ultimate Fighter 13'', but due to a recurring illness, Lesnar was replaced by Shane Carwin."
UFC 131,2011-06-11,"Court McGee was scheduled to fight Jesse Bongfeldt, but was forced to pull out due to a torn MCL while training and was replaced by Chris Weidman Rani Yahya was scheduled face Dustin Poirier at this event, but withdrew due to injury on 3 May 2011 and was replaced by UFC newcomer Jason Young."
UFC 131,2011-06-11,"Anthony Perosh was expected to face Krzysztof Soszynski at this event, but Perosh was forced from the bout with an injury and replaced by Igor Pokrajac."
UFC 131,2011-06-11,"However, Pokrajac was forced to pull out of the bout due to injuries just days before the event and was replaced by Mike Massenzio."
UFC 131,2011-06-11,"UFC newcomer Dave Herman was originally slated to face Rob Broughton at this event, but Broughton was later replaced by Joey Beltran, who was later replaced with John Olav Einemo since Carwin replaced an injured Lesnar. ''UFC 131'' featured two preliminary fights live on Spike TV, and the remainder of the preliminary bouts streamed on Facebook and YouTube. "
UFC 132,2011-07-02,"Evan Dunham was expected to face George Sotiropoulos at the event, but was forced off the card with an injury and replaced by Rafael dos Anjos."
UFC 132,2011-07-02,"However, Miller was removed from the card after accepting a coaching position on The Ultimate Fighter 14, and replaced by Brad Tavares."
UFC 133,2011-08-06,Tito Ortiz initially declined an offer to step in as Davis' replacement and Evans was then rumored to face Lyoto Machida in a rematch of their title bout at UFC 98.
UFC 133,2011-08-06,Ivan Menjivar would later step in to face Pace at this event.
